omega,delta_chi2
2.203633633633634048e+01,3.947986798992046431e+01
2.211331331331331640e+01,3.478424024120699443e+01
2.219029029029029587e+01,3.086427060856703619e+01
2.226726726726727179e+01,2.788378422493059716e+01
2.234424424424424771e+01,2.594842203370972200e+01
2.242122122122122363e+01,2.509736814783939707e+01
2.249819819819820310e+01,2.529732208466003840e+01
2.257517517517517902e+01,2.644119846471576096e+01
2.265215215215215494e+01,2.835408252053130695e+01
2.272912912912913441e+01,3.080770777144482153e+01
2.280610610610611033e+01,3.354255990594402448e+01
2.288308308308308625e+01,3.629447714547544024e+01
2.296006006006006572e+01,3.882116021324129918e+01
2.303703703703704164e+01,4.092383089627865900e+01
2.311401401401401756e+01,4.246041717440576946e+01
2.319099099099099703e+01,4.334873761560894678e+01
2.326796796796797295e+01,4.356063377153661520e+01
2.334494494494494887e+01,4.311019989702439403e+01
2.342192192192192479e+01,4.204055238793260685e+01
2.349889889889890426e+01,4.041351278235256217e+01
2.357587587587588018e+01,3.830507216183030295e+01
2.365285285285285610e+01,3.580698745821525364e+01
2.372982982982983557e+01,3.303216992442253286e+01
2.380680680680681149e+01,3.011961431551866042e+01
2.388378378378378741e+01,2.723419780412961089e+01
2.396076076076076689e+01,2.455798939544982673e+01
2.403773773773774280e+01,2.227244227319696535e+01
2.411471471471471872e+01,2.053418111094199006e+01
2.419169169169169464e+01,1.944990824939577578e+01
2.426866866866867412e+01,1.905712917947307261e+01
2.434564564564565003e+01,1.931633806044797907e+01
2.442262262262262595e+01,2.011727663076642258e+01
2.449959959959960543e+01,2.129797617801169451e+01
2.457657657657658135e+01,2.267192120583535342e+01
2.465355355355355726e+01,2.405690640321516582e+01
2.473053053053053674e+01,2.529934130485969490e+01
2.480750750750751266e+01,2.628955723593527338e+01
2.488448448448448858e+01,2.696638755418352318e+01
2.496146146146146449e+01,2.731214466014898790e+01
2.503843843843844397e+01,2.734139363894363939e+01
2.511541541541541989e+01,2.708805930657280570e+01
2.519239239239239581e+01,2.659510928428609589e+01
2.526936936936937528e+01,2.590945563955051512e+01
2.534634634634635120e+01,2.508238205213753247e+01
2.542332332332332712e+01,2.417356508323485187e+01
2.550030030030030659e+01,2.325538555606286906e+01
2.557727727727728251e+01,2.241413519233559271e+01
2.565425425425425843e+01,2.174586408451840924e+01
2.573123123123123435e+01,2.134653814008621353e+01
2.580820820820821382e+01,2.129821231544768878e+01
2.588518518518518974e+01,2.165439870254479615e+01
2.596216216216216566e+01,2.242824877716910947e+01
2.603913913913914513e+01,2.358647422358081869e+01
2.611611611611612105e+01,2.505040115134857359e+01
2.619309309309309697e+01,2.670376167574298520e+01
2.627007007007007644e+01,2.840537698850042148e+01
2.634704704704705236e+01,3.000417241698621851e+01
2.642402402402402828e+01,3.135406030488241669e+01
2.650100100100100420e+01,3.232691565453045257e+01
2.657797797797798367e+01,3.282278271927513913e+01
2.665495495495495959e+01,3.277721991778327038e+01
2.673193193193193551e+01,3.216607213894823758e+01
2.680890890890891498e+01,3.100790155402494719e+01
2.688588588588589090e+01,2.936395149707027485e+01
2.696286286286286682e+01,2.733513525271434119e+01
2.703983983983984629e+01,2.505542490342545747e+01
2.711681681681682221e+01,2.268134879749925048e+01
2.719379379379379813e+01,2.037807057610802275e+01
2.727077077077077405e+01,1.830348089915560905e+01
2.734774774774775352e+01,1.659251527221379163e+01
2.742472472472472944e+01,1.534417298716246414e+01
2.750170170170170536e+01,1.461329095385906385e+01
2.757867867867868483e+01,1.440811938313959573e+01
2.765565565565566075e+01,1.469346918777432265e+01
2.773263263263263667e+01,1.539805587063771775e+01
2.780960960960961614e+01,1.642399098699860360e+01
2.788658658658659206e+01,1.765634101238113729e+01
2.796356356356356798e+01,1.897124978114742078e+01
2.804054054054054390e+01,2.024208639398980480e+01
2.811751751751752337e+01,2.134410072848821471e+01
2.819449449449449929e+01,2.215878938991968994e+01
2.827147147147147521e+01,2.257933204713329189e+01
2.834844844844845468e+01,2.251796680136594020e+01
2.842542542542543060e+01,2.191516628868612315e+01
2.850240240240240652e+01,2.074927805363683220e+01
2.857937937937938599e+01,1.904433549969451178e+01
2.865635635635636191e+01,1.687344041204848111e+01
2.873333333333333783e+01,1.435570048406293608e+01
2.881031031031031375e+01,1.164610293832061494e+01
