omega,delta_chi2
1.818748748748749122e+01,2.635547411117815386e+01
1.826446446446446714e+01,2.440616134148019967e+01
1.834144144144144306e+01,2.273651936307913957e+01
1.841841841841842253e+01,2.141611143478466062e+01
1.849539539539539845e+01,2.046203028448518779e+01
1.857237237237237437e+01,1.983203662661902911e+01
1.864934934934935384e+01,1.943210672118350857e+01
1.872632632632632976e+01,1.913750379467031593e+01
1.880330330330330568e+01,1.882262735589843317e+01
1.888028028028028160e+01,1.839221514407197944e+01
1.895725725725726107e+01,1.780582754796542844e+01
1.903423423423423699e+01,1.708915847150774425e+01
1.911121121121121647e+01,1.632913202151608445e+01
1.918818818818819238e+01,1.565401786425290709e+01
1.926516516516516830e+01,1.520379315078277926e+01
1.934214214214214422e+01,1.509861701209937124e+01
1.941911911911912370e+01,1.541375914650407708e+01
1.949609609609609961e+01,1.616735277431515883e+01
1.957307307307307553e+01,1.732339503210351950e+01
1.965005005005005501e+01,1.880772574854647416e+01
1.972702702702703093e+01,2.053087499915431380e+01
1.980400400400400684e+01,2.240997419218462028e+01
1.988098098098098632e+01,2.438282033287309858e+01
1.995795795795796224e+01,2.641017724411885226e+01
2.003493493493493816e+01,2.846640070665674571e+01
2.011191191191191407e+01,3.052225480492044696e+01
2.018888888888889355e+01,3.252629047981719879e+01
2.026586586586586947e+01,3.439168628874739397e+01
2.034284284284284539e+01,3.599382325486080703e+01
2.041981981981982486e+01,3.718056029613269686e+01
2.049679679679680078e+01,3.779328981387419617e+01
2.057377377377377670e+01,3.769371386640467847e+01
2.065075075075075617e+01,3.678987419670846748e+01
2.072772772772773209e+01,3.505552921666986776e+01
2.080470470470470801e+01,3.253901689258240282e+01
2.088168168168168393e+01,2.936045558337074368e+01
2.095865865865866340e+01,2.569875158475150556e+01
2.103563563563563932e+01,2.177186151927582003e+01
2.111261261261261524e+01,1.781475438098783570e+01
2.118958958958959471e+01,1.405934910832380069e+01
2.126656656656657063e+01,1.071942240698193061e+01
2.134354354354354655e+01,7.981479270579583840e+00
2.142052052052052602e+01,6.000543006700833182e+00
2.149749749749750194e+01,4.898488799689323159e+00
2.157447447447447786e+01,4.762369507467964169e+00
2.165145145145145378e+01,5.641131308196250416e+00
2.172842842842843325e+01,7.540700632609420140e+00
2.180540540540540917e+01,1.041892641682743559e+01
2.188238238238238509e+01,1.418264345175917462e+01
