name,amplitude,phase,omega,scale,bins,generator,injected,trial,degree,recovered_omega,recovered_amplitude,search_score
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,44,12,79.92302302302303,0.031009949909470026,6.372500092846678
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,45,7,39.04824824824826,0.03085227599991805,13.629941120610908
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,45,12,38.97127127127128,0.015501581669620616,13.89497442812825
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,46,7,59.524124124124135,0.06263269707337034,13.26596893858283
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,46,12,59.524124124124135,0.05763561921881763,14.283199229962122
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,47,7,18.95725725725726,0.027550811460345027,11.256103940947469
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,47,12,19.034234234234237,0.07201909886094518,11.335511034745423
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,48,7,16.95585585585586,0.04795723749467253,12.598859375087386
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,48,12,16.878878878878883,0.04281173866613725,9.774913253053825
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,49,7,58.83133133133134,0.11819571667562996,10.71054427762212
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,49,12,58.83133133133134,0.014260458894195999,10.366409731132478
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,50,7,34.66056056056056,0.16230860550185386,8.496914059762815
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,50,12,34.66056056056056,0.01632292965796659,8.194457536598605
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,51,7,22.498198198198203,0.12274137952010736,12.83124142325488
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,51,12,22.652152152152155,0.01375345732959564,15.252762678517286
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,52,7,72.9950950950951,0.12351065711451582,7.493078017164635
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,52,12,72.9950950950951,0.07197196185426585,7.4343336081898315
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,53,7,63.91181181181182,0.0562289341496828,12.197850129402525
