label,split,model,predictive_deviance
G1,4,pspline_40_0.1,349.94692409041613
G1,4,pspline_40_1,342.67951406405405
G1,4,pspline_40_10,338.49706916426885
G1,4,pspline_40_100,344.5430406791137
G1,4,cms_dijet_form,656.1821130747161
G1,4,local_0.15,355.48950547641044
G1,4,local_0.3,410.61645376885417
G1,4,local_0.5,561.9612380812493
G1,4,cheb_d5,565.6173232013524
G1,4,cheb_d6,514.4759553309157
G1,4,cheb_d7,507.82794358587853
G1,4,cheb_d8,401.1951410077612
G1,4,cheb_d9,376.05610703905904
G1,4,cheb_d10,366.2042372829387
G1,4,cheb_d11,361.6622186088801
G1,4,cheb_d12,357.1024320789223
G1,4,bernstein_d5,565.6173232013529
G1,4,bernstein_d7,507.82794358587773
G1,4,bernstein_d9,376.0561070390555
G1,4,bernstein_d12,357.10243207891335
G1,4,spline_s0.5,420.3988388228118
G1,4,spline_s1,357.6251809485716
G1,4,spline_s2,690.7360611877971
G1,4,cheb_d2,3567.7001900604682
G1,4,cheb_d3,690.7360611877982
G1,4,cheb_d14,355.2934613819216
G1,4,cheb_d16,353.45449956448067
G1,4,cheb_d20,355.4492270213205
G1,4,spline_s0.25,515.4378361870156
G1,4,spline_s1.5,499.9236341342336
G1,4,spline_s3.0,690.7360611877971
G1,4,spline_s4.0,690.7360611877971
