label,variant,model,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
H2,log_350_shift0.0,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",287,287,1.0124924408848122,3.3469960984648086,0.03446607374069314,-2.2883137833526654,0.16383637814294616,-2.0569220980594474,-0.01386354383192267,0.0,1.0,False
H2,log_350_shift0.0,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",287,277,1.940143500749504,13.012383017156182,1.1371464579865558,0.14360054113643983,167.24879397236418,0.37499222642965774,1.027522794101437,141.45354673960878,6.402328894938062e-33,True
H2,log_350_shift0.25,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",287,280,1.66222356147693,10.38776631705564,0.9945026625075376,-0.21805450809977944,131.64519919122438,0.013337177193438465,0.9934407137117494,131.61895081775833,9.063994554335046e-31,True
H2,log_350_shift0.25,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",287,287,1.04731078460625,3.3369571537602485,0.09805159827346997,-2.53814363322252,1.2759941106124302,-2.306751947929302,-0.06048750606898732,0.0,1.0,False
H2,log_350_shift0.25,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",287,287,1.0126398559966043,3.209531946589409,0.01797057490384002,-2.8042931801613853,0.041750762708829825,-2.572901494868167,-0.01443181054984858,0.0,1.0,False
H2,log_350_shift0.25,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",287,278,1.8575277747406425,11.67491661701608,1.1305900534284186,0.09273093881861519,165.06152254084714,0.3241226241118331,1.0452929521900358,145.71711357003983,7.484360572809568e-34,True
H2,log_350_shift0.5,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",288,281,1.7425028896598362,9.515339861975983,0.973160548690995,-0.2683079673207927,129.12174888591971,-0.0369162820275748,0.9752398007798877,128.93035340475444,3.512015836096307e-30,True
H2,log_350_shift0.5,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",288,288,1.115398880551786,3.134607267788807,0.09044046984096511,-2.5242356108293325,1.087446744058468,-2.2928439255361144,-0.0545921615714615,0.0,1.0,False
H2,log_350_shift0.5,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",288,288,1.0129971760294403,2.9524802720307606,0.00432680403656139,-0.5482097691456178,0.0026772781903332543,-0.3168180838523999,0.0042143851444623945,0.002407691190683181,0.48043246086093316,True
H2,log_350_shift0.5,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",288,283,1.6606639431077128,7.497429152026155,1.0489776627576608,0.012924736111763264,144.69332931008523,0.24431642140498117,0.9984529354296473,135.14112663273932,1.5375783711462838e-31,True
H2,log_350_shift0.75,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",287,279,1.6804928126480438,9.654853942408035,1.009255039544172,-0.30619287262357453,139.01940799163162,-0.07480118733035662,1.0122326508366013,138.17823405156673,3.331040355748775e-32,True
H2,log_350_shift0.75,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",287,287,1.0254224923453594,3.176398386871294,0.09060635343914615,-2.4694264221887012,1.094302891744121,-2.238034736895483,-0.05059585592775027,0.0,1.0,False
H2,log_350_shift0.75,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",287,287,1.0116596584306956,3.0846425965845885,0.08869369451871172,-1.3443526937323278,1.2129630080174252,-1.11296100843911,0.045321122729018774,0.27700032216284853,0.2993370430283109,True
H2,log_350_shift0.75,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",287,279,1.7748827892118884,9.183687594457517,1.143091208264139,0.04295601207313054,170.47086228851947,0.27434769736634845,1.0765282167443153,156.28949549574293,3.659120900506715e-36,True
H2,log_400_shift0.0,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",327,321,1.6008484196471686,10.621819094918155,0.9127090793583296,-0.21783440308047777,126.75229970392661,0.013557282212740135,0.9117200011999261,126.72633002113366,1.0662076739723715e-29,True
H2,log_400_shift0.0,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",327,327,1.0639781484659163,3.242908175719758,0.10512200019439721,-2.322750663451547,1.7279328616590988,-2.091358978158329,-0.045612655791280377,0.0,1.0,False
H2,log_400_shift0.0,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",327,327,1.014239626931342,3.207054176851795,0.008474017317563485,3.1151417708743576,0.010682015602753836,-2.936651851012011,-0.008170520303781337,0.0,1.0,False
H2,log_400_shift0.0,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",327,318,1.8158482425355402,12.125502043322951,1.0683504272495268,0.10647774821914599,168.3018486880345,0.33786943351236387,0.9820418729151142,147.029305198158,3.866294857209775e-34,True
H2,log_400_shift0.25,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",327,318,1.6313961212749446,9.10676081781471,0.8953591548249141,-0.3227369110081257,124.32995415179118,-0.09134522571490777,0.897754212887674,123.2014996388773,6.299122985322777e-29,True
H2,log_400_shift0.25,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",327,327,1.0669595731955617,3.1508994757389135,0.0858226513709337,-2.4639978469262083,1.1227039154071576,-2.23260616163299,-0.0476621558611471,0.0,1.0,False
