label,model,search,omega,amplitude,phase,delta_chi2,local_p_chi2_2dof,c0,cos_coeff,sin_coeff
G1,cheb_d12,fixed_control,9.7,0.12267088079723673,2.1185281109410274,2.1140680081613823,0.34748492226618266,-0.15939377883728897,-0.06388112815497748,0.10472509948057918
G1,cheb_d12,linear_mass_2to50cycles,2.043226493997576,0.28018351305521083,-1.378650626964332,11.77165831402499,0.002778541422830836,-0.1682052418244159,0.05350539724956885,-0.2750272231127772
G1,spline_s1,0.5:80:3000,80.0,0.2973021771984822,-2.4179667582097593,12.642325791581072,0.0017978515760881184,-0.14096706594997901,-0.2228012045494804,-0.19684564465148394
G1,spline_s1,3.1:80:1000,80.0,0.2973021771984822,-2.4179667582097593,12.642325791581072,0.0017978515760881184,-0.14096706594997901,-0.2228012045494804,-0.19684564465148394
G1,spline_s1,5:9:1001,5.9,0.021609293982016838,-0.1605606365835742,0.07191937728657649,0.9646791802258756,-0.13913166839316257,0.021331351107144448,-0.0034547136415275298
G1,spline_s1,0.5:160:4000,80.15028757189297,0.3030133263348655,-2.0150333611341367,13.094699537789097,0.001433910761959933,-0.14026006405512742,-0.13022576277027034,-0.2736024975167825
G1,spline_s1,fixed_control,3.5129129129129133,0.007866159920139282,1.588048609241504,0.007835354557926166,0.9960899868069296,-0.13933555789065522,-0.00013570248070267008,0.007864989302340898
G1,spline_s1,fixed_control,7.025825825825827,0.0067063308046748865,-2.7425529318618898,0.005845376107345146,0.9970815788411106,-0.13904424403936472,-0.006179444700919134,-0.0026056354407348985
G1,spline_s1,fixed_control,14.051651651651653,0.015750281069647525,-0.41198499959452156,0.03345920656806811,0.9834095594027696,-0.13902167646262392,0.014432420042068203,-0.006306869707089659
G1,spline_s1,fixed_control,6.025825825825827,0.0214993808843917,0.1691862325379747,0.07026533105437238,0.9654773222029853,-0.13879711423441454,0.021192415210516402,0.0036200712641079836
G1,spline_s1,fixed_control,8.025825825825827,0.011346504780782063,-2.5386519346951135,0.018705649733135488,0.9906907767612482,-0.13880446633122495,-0.009345793677244986,-0.006434229657284379
G1,spline_s1,fixed_control,9.7,0.014224371486004809,2.585198143316226,0.027764109852910224,0.9862138564693335,-0.1407830979885588,-0.012078835372868942,0.007512288613132264
G1,spline_s1,linear_mass_2to50cycles,2.0304343418986712,0.17765965737393835,-2.2549103137200808,4.486872936463783,0.10609329099244957,-0.1514499999285643,-0.11227852599655905,-0.13768255684096362
G1,spline_s2,0.5:80:3000,7.418806268756252,1.1038785624582252,1.242716441158865,163.56873296396896,3.030406793532712e-36,-0.1234392789165982,0.35569828830511674,1.0450007695459598
