folds,block,winner,name,family,degree,spline_smoothing_factor,a_failed,b_failed,failed,a_total_poisson_deviance,b_total_poisson_deviance,a_deviance_per_bin,b_deviance_per_bin,combined_validation_bins,combined_total_poisson_deviance,combined_deviance_per_bin
5,1,bernstein_d12,bernstein_d9,bernstein,9,1.0,,,,413.9191345377475,500.2620081212807,1.4422269496088762,1.7430731990288526,574,914.1811426590282,1.5926500743188645
5,1,bernstein_d12,bernstein_d12,bernstein,12,1.0,,,,366.4210945770743,465.9430798738156,1.27672855253336,1.6234950518251414,574,832.3641744508899,1.4501118021792507
5,1,bernstein_d12,spline_s0.5,spline,7,0.5,,,,436.2793106705256,658.9558437745707,1.520136970977441,2.296013392942755,574,1095.2351544450962,1.9080751819600978
5,1,bernstein_d12,spline_s1,spline,7,1.0,,,,371.49885273335747,500.1296041096165,1.2944210896632664,1.7426118610091166,574,871.628456842974,1.5185164753361915
5,1,bernstein_d12,spline_s2,spline,7,2.0,,,,926.2087497877994,937.1155679641959,3.227208187413935,3.2652110382027733,574,1863.3243177519953,3.246209612808354
5,2,bernstein_d12,cheb_d5,chebyshev,5,1.0,,,,782.4481750539561,947.6952138643138,2.726300261512042,3.3020739159035326,574,1730.14338891827,3.0141870887077875
5,2,bernstein_d12,cheb_d6,chebyshev,6,1.0,,,,718.3227928844981,833.6556088782943,2.5028668741620144,2.9047233758825586,574,1551.9784017627924,2.7037951250222862
5,2,bernstein_d12,cheb_d7,chebyshev,7,1.0,,,,817.7146805416685,871.2867413070517,2.8491800715737576,3.035842304205755,574,1689.0014218487202,2.9425111878897563
5,2,bernstein_d12,cheb_d8,chebyshev,8,1.0,,,,571.5513674649044,589.2760366570886,1.9914681793202242,2.0532266085612845,574,1160.827404121993,2.022347393940754
5,2,bernstein_d12,cheb_d9,chebyshev,9,1.0,,,,457.2372820421584,530.6525970642689,1.5931612614709352,1.8489637528371738,574,987.8898791064273,1.7210625071540546
5,2,bernstein_d12,cheb_d10,chebyshev,10,1.0,,,,488.5346829630764,492.95691294745296,1.7022114388957366,1.7176199057402541,574,981.4915959105294,1.7099156723179956
5,2,bernstein_d12,cheb_d11,chebyshev,11,1.0,,,,455.0058275493514,493.0027075162292,1.5853861587085416,1.7177794686976626,574,948.0085350655806,1.6515828137031021
5,2,bernstein_d12,cheb_d12,chebyshev,12,1.0,,,,385.88470743681415,476.72971041943237,1.3445460189436034,1.6610791303812975,574,862.6144178562465,1.5028125746624503
5,2,bernstein_d12,bernstein_d5,bernstein,5,1.0,,,,782.4481750539534,947.6952138643203,2.7263002615120326,3.302073915903555,574,1730.1433889182736,3.0141870887077937
5,2,bernstein_d12,bernstein_d7,bernstein,7,1.0,,,,817.7146805416696,871.2867413070504,2.8491800715737616,3.0358423042057505,574,1689.00142184872,2.942511187889756
5,2,bernstein_d12,bernstein_d9,bernstein,9,1.0,,,,457.2372820421565,530.6525970642683,1.5931612614709285,1.8489637528371718,574,987.8898791064248,1.7210625071540502
5,2,bernstein_d12,bernstein_d12,bernstein,12,1.0,,,,385.88470743681285,476.7297104194269,1.3445460189435987,1.6610791303812784,574,862.6144178562397,1.5028125746624386
5,2,bernstein_d12,spline_s0.5,spline,7,0.5,,,,812.5237905555383,62111.27888034835,2.8310933468834087,216.4156058548723,574,62923.80267090389,109.62334960087786
5,2,bernstein_d12,spline_s1,spline,7,1.0,,,,407.966521585596,636.9386151617541,1.4214861379289059,2.2192983106681328,574,1044.90513674735,1.8203922242985193
5,2,bernstein_d12,spline_s2,spline,7,2.0,,,,930.9253947123502,961.3505545383986,3.2436424902869345,3.349653500133793,574,1892.275949250749,3.296647995210364
5,4,cheb_d12,cheb_d5,chebyshev,5,1.0,,,,878.2425867041521,1056.5590315381553,3.0600786993176032,3.681390353791482,574,1934.8016182423075,3.3707345265545428
5,4,cheb_d12,cheb_d6,chebyshev,6,1.0,,,,776.7058326004055,895.0732374542733,2.706292099652981,3.1187220817222068,574,1671.7790700546789,2.912507090687594
5,4,cheb_d12,cheb_d7,chebyshev,7,1.0,,,,959.8862288564899,1058.75745590911,3.344551320057456,3.689050369021289,574,2018.6436847655998,3.5168008445393726
5,4,cheb_d12,cheb_d8,chebyshev,8,1.0,,,,599.8478234603738,689.4489427202762,2.090062102649386,2.402261124460893,574,1289.2967661806501,2.2461616135551394
5,4,cheb_d12,cheb_d9,chebyshev,9,1.0,,,,484.46161803526394,580.40939442854,1.688019575035763,2.0223323847684322,574,1064.871012463804,1.8551759799020975
