label,start,size,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
G1,263,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7272329840830538,8.472441991337073,0.9348539401328467,-0.15751949417683903,115.88976743884655,0.07387219111637888,0.9273128941892553,115.18616470309325,3.5822855778022435e-27,True
G1,264,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7116563874001478,8.356823955157777,0.952338382472705,-0.13109451926325497,119.85269848471921,0.10029716602996296,0.9407070997751047,118.50854865456472,6.708732245191851e-28,True
G1,265,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.710964366974372,8.360024052802562,0.9512065392432338,-0.1307438551650376,119.53530094977089,0.10064783012818031,0.9395812923557889,118.18463819594444,7.898805174429558e-28,True
G1,266,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7131766116050615,8.401366444503838,0.9402226193727412,-0.1721796297839964,117.3511354653923,0.05921205550922152,0.9346353397210846,116.89323430508409,1.514722408678075e-27,True
G1,267,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.745710490690501,8.944985541928764,0.9254413977858843,-0.13472689833298526,113.11544901016157,0.09666478696023265,0.9148324645136527,111.93499572816893,1.84609826548475e-26,True
G1,268,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7458608230868733,8.941598018361196,0.9256375483489314,-0.13604452674202247,113.12338725013865,0.09534715855119544,0.9152568055812211,111.97380247635192,1.810314602107619e-26,True
G1,269,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7272403623249226,8.48524200892108,0.9346121910104132,-0.15723583708584216,115.55369223874197,0.07415584820737575,0.9272063567521794,114.84357922621439,4.257824020214757e-27,True
G1,270,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,275,1.7206086686962383,8.371472057587956,0.9408989204924739,-0.15690888127356697,117.03259964935603,0.07448280401965093,0.9334083395907757,116.30618230432174,2.0365030462737645e-27,True
G1,271,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.725347966600076,8.453161037770144,0.9429512134641488,-0.16374201748078338,117.56101332072922,0.06764966781243453,0.9363519869750928,116.95864037596925,1.465584383359202e-27,True
G1,272,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,276,1.7269853886906261,8.485105572929786,0.9350121433244207,-0.15790832622007547,115.4244865632121,0.07348335907314243,0.9276997802295134,114.72549063479721,4.5190795285849375e-27,True
