mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
4.922925581898790703e+00,4.980852751255922861e+00,4.951804461893538623e+00,1.200000000000000000e+01,2.149762229188831597e+01,-2.048423172938362402e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.980852751255922861e+00,5.039461539072222607e+00,5.010071443775656164e+00,1.500000000000000000e+01,2.129972780766211571e+01,-1.365006622817024562e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.039461539072222607e+00,5.098759965828046248e+00,5.069024042629077798e+00,2.300000000000000000e+01,2.111855983476208820e+01,4.094098262245942088e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.098759965828046248e+00,5.158756146379280594e+00,5.128670325983923028e+00,2.100000000000000000e+01,2.095364303889305191e+01,1.012710208491446502e-02,1.000000000000000000e+00,1.000000000000000000e+00
5.158756146379280594e+00,5.219458291067845757e+00,5.189018456299471005e+00,1.500000000000000000e+01,2.080453015827675856e+01,-1.272588856024968962e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.219458291067845757e+00,5.280874706845262168e+00,5.250076692081171892e+00,1.100000000000000000e+01,2.067080104501741644e+01,-2.127079858671507395e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.280874706845262168e+00,5.343013798409435466e+00,5.311853389010809501e+00,1.800000000000000000e+01,2.055206170912066099e+01,-5.629417694042191389e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.343013798409435466e+00,5.405884069354823573e+00,5.374357001089951069e+00,2.300000000000000000e+01,2.044794337037353316e+01,5.643720404066114860e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.405884069354823573e+00,5.469494123336130720e+00,5.437596081796864489e+00,1.800000000000000000e+01,2.035810152236587101e+01,-5.226294287412167616e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.469494123336130720e+00,5.533852665245701630e+00,5.501579285257038876e+00,2.000000000000000000e+01,2.028221501212150102e+01,-6.266462147657424209e-02,1.000000000000000000e+00,1.000000000000000000e+00
5.533852665245701630e+00,5.598968502404764180e+00,5.566315367427481675e+00,2.100000000000000000e+01,2.021998513809951348e+01,1.734652400756198920e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.598968502404764180e+00,5.664850545768692847e+00,5.631813187294953948e+00,1.500000000000000000e+01,2.017113476870942890e+01,-1.151385327709871120e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.664850545768692847e+00,5.731507811146451914e+00,5.698081708088302832e+00,1.600000000000000000e+01,2.013540748295130811e+01,-9.215907303069394985e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.731507811146451914e+00,5.798949420434388102e+00,5.765129998505053699e+00,2.500000000000000000e+01,2.011256673433142339e+01,1.089800722303864600e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.798949420434388102e+00,5.867184602864544019e+00,5.832967233952451203e+00,2.400000000000000000e+01,2.010239503880926648e+01,8.693084833750255314e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.867184602864544019e+00,5.936222696267654975e+00,5.901602697803083331e+00,2.100000000000000000e+01,2.010469318719502141e+01,1.996747568907407955e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.936222696267654975e+00,6.006073148351011248e+00,5.971045782665295398e+00,2.500000000000000000e+01,2.011927948213026340e+01,1.088122342528810460e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.006073148351011248e+00,6.076745517991354539e+00,6.041305991668542319e+00,1.600000000000000000e+01,2.014598899954379974e+01,-9.237061799266516049e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.076745517991354539e+00,6.148249476542990699e+00,6.112392939763878097e+00,2.100000000000000000e+01,2.018467287427363033e+01,1.814767670123981769e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.148249476542990699e+00,6.220594809161290151e+00,6.184316355039734425e+00,1.300000000000000000e+01,2.023519760937897871e+01,-1.608409657898746792e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.220594809161290151e+00,6.293791416141767847e+00,6.257086080053188226e+00,2.200000000000000000e+01,2.029744440853123066e+01,3.779032448604109362e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.293791416141767847e+00,6.367849314274911521e+00,6.330712073176893107e+00,1.400000000000000000e+01,2.037130853076290293e+01,-1.411624453862424744e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.367849314274911521e+00,6.442778638216962506e+00,6.405204409961865686e+00,1.600000000000000000e+01,2.045669866676825421e+01,-9.853612898730863545e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.442778638216962506e+00,6.518589641876814333e+00,6.480573284516293775e+00,2.000000000000000000e+01,2.055353633588376994e+01,-1.220963994534529917e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.518589641876814333e+00,6.595292699819242266e+00,6.556829010900580457e+00,2.800000000000000000e+01,2.066175530282864869e+01,1.614390459871571037e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.595292699819242266e+00,6.672898308684637847e+00,6.633982024538803479e+00,2.600000000000000000e+01,2.078130101325325896e+01,1.144790142171257630e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.672898308684637847e+00,6.751417088625448315e+00,6.712042883646775593e+00,1.600000000000000000e+01,2.091213004712396639e+01,-1.074164315212904564e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.751417088625448315e+00,6.830859784759521602e+00,6.791022270676910999e+00,1.900000000000000000e+01,2.105420958896491612e+01,-4.476878223450354022e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.830859784759521602e+00,6.911237268640554099e+00,6.870930993780100415e+00,2.800000000000000000e+01,2.120751691397935090e+01,1.474971587796899408e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.911237268640554099e+00,6.992560539745832138e+00,6.951779988284777723e+00,2.400000000000000000e+01,2.137203888908297600e+01,5.684548239339718423e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.992560539745832138e+00,7.074840726981492800e+00,7.033580318193394909e+00,2.100000000000000000e+01,2.154777148789952079e+01,-1.180044112349757507e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.074840726981492800e+00,7.158089090205485228e+00,7.116343177696510480e+00,2.200000000000000000e+01,2.173471931879152663e+01,5.690214081241731781e-02,1.000000000000000000e+00,1.000000000000000000e+00
7.158089090205485228e+00,7.242317021768456264e+00,7.200079892704682294e+00,2.600000000000000000e+01,2.193289516502824554e+01,8.684351348346154298e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.242317021768456264e+00,7.327536048072772701e+00,7.284801922398398411e+00,1.500000000000000000e+01,2.214231953622461546e+01,-1.517846030022980131e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.327536048072772701e+00,7.413757831149876409e+00,7.370520860796239582e+00,2.800000000000000000e+01,2.236302023022153662e+01,1.192013702816700382e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.413757831149876409e+00,7.500994170256213067e+00,7.457248438341488317e+00,2.800000000000000000e+01,2.259503190461618516e+01,1.137068570065738360e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.500994170256213067e+00,7.589257003487931641e+00,7.544996523507423447e+00,2.000000000000000000e+01,2.283839565719239673e+01,-5.939366668859670240e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.589257003487931641e+00,7.678558409414584673e+00,7.633777124421487592e+00,2.300000000000000000e+01,2.309315861454343022e+01,-1.938569393903107410e-02,1.000000000000000000e+00,1.000000000000000000e+00
7.678558409414584673e+00,7.768910608732054968e+00,7.723602390508570004e+00,3.100000000000000000e+01,2.335937352822344693e+01,1.580878063410976475e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.768910608732054968e+00,7.860325965934928050e+00,7.814484614153635711e+00,2.600000000000000000e+01,2.363709837780882950e+01,4.860137531955218693e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.860325965934928050e+00,7.952816991008554659e+00,7.906436232383907026e+00,2.400000000000000000e+01,2.392639598029537140e+01,1.504744934185513888e-02,1.000000000000000000e+00,1.000000000000000000e+00
7.952816991008554659e+00,8.046396341140990671e+00,7.999469828570837215e+00,3.300000000000000000e+01,2.422733360530303059e+01,1.782291782214026288e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.046396341140990671e+00,8.141076822455133311e+00,8.093598134152122370e+00,3.300000000000000000e+01,2.453998259560442108e+01,1.707788683050326606e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.141076822455133311e+00,8.236871391761193095e+00,8.188834030373969952e+00,3.000000000000000000e+01,2.486441799253854157e+01,1.029912951575477464e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.236871391761193095e+00,8.333793158329809714e+00,8.285190550053870950e+00,2.700000000000000000e+01,2.520071816591494951e+01,3.584204135135760638e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.333793158329809714e+00,8.431855385686024107e+00,8.382680879364103887e+00,3.700000000000000000e+01,2.554896444805612532e+01,2.265468938607706040e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.431855385686024107e+00,8.531071493424359886e+00,8.481318359636237147e+00,3.900000000000000000e+01,2.590924077166898343e+01,2.571801775083875086e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.531071493424359886e+00,8.631455059045270772e+00,8.581116489186857876e+00,2.500000000000000000e+01,2.628163331127526448e+01,-2.499986197635315488e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.631455059045270772e+00,8.733019819813184981e+00,8.682088925164791249e+00,2.700000000000000000e+01,2.666623012797155567e+01,6.463478683599063745e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.733019819813184981e+00,8.835779674636420111e+00,8.784249485420046355e+00,3.600000000000000000e+01,2.706312081732543007e+01,1.717896316934642620e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.835779674636420111e+00,8.939748685969220787e+00,8.887612150394755162e+00,3.700000000000000000e+01,2.747239616025078845e+01,1.817755303889959428e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.939748685969220787e+00,9.044941081736169508e+00,8.992191065036371000e+00,3.400000000000000000e+01,2.789414777673870205e+01,1.156084930995308513e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.044941081736169508e+00,9.151371257279251381e+00,9.098000540733369945e+00,3.600000000000000000e+01,2.832846778235131069e+01,1.441353711143718019e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.151371257279251381e+00,9.259053777327816093e+00,9.205055057273728636e+00,5.200000000000000000e+01,2.877544844741576568e+01,4.329485471226273141e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.259053777327816093e+00,9.368003377991735547e+00,9.313369264826457439e+00,8.500000000000000000e+01,2.923518185888185883e+01,1.031353128627030635e+01,0.000000000000000000e+00,0.000000000000000000e+00
